topic,last_index
Education,10
Technology,10
Environment,10
Health,10
Business,10
Global warming,3
Climate change,0
Transportation,0
Tourism,0
Culture,0
Art,0
Music,0
Sports,0
Media,0
Communication,0
Food,0
Agriculture,0
Energy,0
Population,0
Urbanization,0
Crime,0
Law,0
Government,0
Economy,0
Employment,0
Science,0
Space exploration,0
Oceans,0
Animals,0
Pollution,0
Recycling,0
Water resources,0
Education systems,0
Children,0
Family,0
Gender equality,0
Social media,0
Advertising,0
Technology and privacy,0
Artificial intelligence,0
Migration,0
Aging population,0
Public health,0
Housing,0
Globalization,0
Culture preservation,0
Transportation infrastructure,0
Consumerism,0
Ethics,0
Happiness and well-being,0
